日期,总施工人数,总劳动力成本,不限人数,安装工人数,抹灰工人数,木工人数,水电工人数,测量员人数,混凝土工人数,砌筑工人数,管道工人数,钢筋工人数,防水工人数,不限成本,安装工成本,抹灰工成本,木工成本,水电工成本,测量员成本,混凝土工成本,砌筑工成本,管道工成本,钢筋工成本,防水工成本,总施工实际人数,总劳动力实际成本,不限实际人数,安装工实际人数,抹灰工实际人数,木工实际人数,水电工实际人数,测量员实际人数,混凝土工实际人数,砌筑工实际人数,管道工实际人数,钢筋工实际人数,防水工实际人数,不限实际成本,安装工实际成本,抹灰工实际成本,木工实际成本,水电工实际成本,测量员实际成本,混凝土工实际成本,砌筑工实际成本,管道工实际成本,钢筋工实际成本,防水工实际成本
2025-10-07,8.0,3955.809523809524,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-08,8.0,3955.809523809524,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09,8.0,3955.809523809524,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-10,14.0,7162.209523809524,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6415.542857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-11,8.0,3953.0666666666666,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3206.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-12,8.0,3953.0666666666666,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3206.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-13,24.0,9812.114285714286,0.0,0.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,6605.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-14,16.0,7892.114285714286,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4685.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15,12.0,7252.114285714286,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-16,12.0,7252.114285714286,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-17,12.0,7252.114285714286,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-18,12.0,7252.114285714286,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-19,15.0,7732.114285714286,3.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-20,2.0,1024.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-21,2.0,1024.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22,4.0,2258.285714285714,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-23,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-24,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-25,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-26,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-27,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-28,4.0,2468.5714285714284,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2468.5714285714284,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-30,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
