日期,总施工人数,总劳动力成本,不限人数,安装工人数,抹灰工人数,木工人数,水电工人数,测量员人数,混凝土工人数,砌筑工人数,管道工人数,钢筋工人数,防水工人数,不限成本,安装工成本,抹灰工成本,木工成本,水电工成本,测量员成本,混凝土工成本,砌筑工成本,管道工成本,钢筋工成本,防水工成本,总施工实际人数,总劳动力实际成本,不限实际人数,安装工实际人数,抹灰工实际人数,木工实际人数,水电工实际人数,测量员实际人数,混凝土工实际人数,砌筑工实际人数,管道工实际人数,钢筋工实际人数,防水工实际人数,不限实际成本,安装工实际成本,抹灰工实际成本,木工实际成本,水电工实际成本,测量员实际成本,混凝土工实际成本,砌筑工实际成本,管道工实际成本,钢筋工实际成本,防水工实际成本,总实际施工人数,总实际劳动力成本
2025-09-12,30.0,10726.0,5.0,6.0,0.0,15.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,736.0,4000.0,0.0,4950.0,0.0,80.0,0.0,960.0,0.0,0.0,0.0,,,5.0,6.0,0.0,16.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,682.54,3850.06,0.0,4631.66,0.0,76.05,0.0,910.12,0.0,0.0,0.0,31.0,10150.43
2025-09-13,28.0,11339.923076923078,3.0,6.0,0.0,7.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,288.0,4000.0,0.0,2070.0,0.0,0.0,0.0,960.0,3076.923076923077,945.0,0.0,,,3.0,6.0,0.0,7.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,292.31,3640.77,0.0,1945.61,0.0,0.0,0.0,987.81,3310.2,1006.73,0.0,28.0,11183.43
2025-09-14,35.0,13015.923076923078,2.0,6.0,0.0,0.0,1.0,0.0,8.0,2.0,4.0,12.0,0.0,448.0,4000.0,0.0,0.0,240.0,0.0,1456.0,960.0,3076.923076923077,2835.0,0.0,,,2.0,6.0,0.0,0.0,1.0,0.0,8.0,2.0,4.0,11.0,0.0,492.58,3689.28,0.0,0.0,259.28,0.0,1458.6,919.55,2828.37,2869.71,0.0,34.0,12517.37
2025-09-15,14.0,8484.923076923078,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,448.0,4000.0,0.0,0.0,0.0,0.0,0.0,960.0,3076.923076923077,0.0,0.0,,,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,466.0,3907.6,0.0,0.0,0.0,0.0,0.0,913.5,2863.71,0.0,0.0,14.0,8150.81
2025-09-16,15.0,8604.923076923078,2.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,448.0,4000.0,0.0,0.0,120.0,0.0,0.0,960.0,3076.923076923077,0.0,0.0,,,2.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,456.53,3648.42,0.0,0.0,131.58,0.0,0.0,976.5,3097.75,0.0,0.0,14.0,8310.78
2025-09-17,27.0,13916.923076923078,4.0,6.0,12.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,576.0,4000.0,6144.0,0.0,120.0,0.0,0.0,0.0,3076.923076923077,0.0,0.0,,,4.0,6.0,11.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,563.6,4158.55,5955.35,0.0,130.87,0.0,0.0,0.0,2810.78,0.0,0.0,26.0,13619.15
2025-09-18,30.0,15460.923076923078,2.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,448.0,4000.0,7936.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,0.0,,,2.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,485.21,3765.62,7172.61,0.0,0.0,0.0,0.0,0.0,2801.73,0.0,0.0,32.0,14225.17
2025-09-19,28.0,14572.923076923078,2.0,6.0,12.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,448.0,4000.0,5248.0,1800.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,0.0,,,2.0,6.0,12.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,447.72,3841.66,4896.9,1936.21,0.0,0.0,0.0,0.0,2769.55,0.0,0.0,28.0,13892.04
2025-09-20,29.0,16760.637362637364,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,5248.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7585.89,5484.35,0.0,0.0,0.0,0.0,0.0,3037.73,0.0,735.93,30.0,16843.9
2025-09-21,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7620.74,3599.83,0.0,0.0,0.0,0.0,0.0,3245.92,0.0,697.97,23.0,15164.46
2025-09-22,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,6977.57,3620.91,0.0,0.0,0.0,0.0,0.0,2790.67,0.0,666.33,23.0,14055.48
2025-09-23,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7148.71,3329.62,0.0,0.0,0.0,0.0,0.0,3170.62,0.0,673.19,23.0,14322.14
2025-09-24,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,8312.29,3725.58,0.0,0.0,0.0,0.0,0.0,3275.77,0.0,676.32,25.0,15989.96
2025-09-25,23.0,14968.637362637362,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,3076.923076923077,0.0,685.7142857142857,,,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,6976.91,3520.86,0.0,0.0,0.0,0.0,0.0,2872.62,0.0,703.97,22.0,14074.36
2025-09-26,21.0,12531.714285714286,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7750.0,3456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.7142857142858,,,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7762.66,3197.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438.87,20.0,12399.04
2025-09-27,25.0,14894.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7750.0,6504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7733.73,6040.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.4,23.0,14469.68
2025-09-28,19.0,11438.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7491.3,3165.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.11,19.0,11283.12
2025-09-29,19.0,11438.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7643.56,2848.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.15,19.0,11110.34
2025-09-30,13.0,7438.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3960.44,3052.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.73,13.0,7646.62
2025-10-01,13.0,7438.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4005.9,3347.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.7,12.0,8002.39
2025-10-02,13.0,7438.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3570.26,2745.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.11,13.0,6951.01
2025-10-03,13.0,7438.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,,,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3616.87,2753.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.32,13.0,7030.5
2025-10-04,21.0,11393.809523809525,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3750.0,6257.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.6666666666663,,,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3556.86,6874.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401.75,20.0,11832.81
2025-10-05,13.0,7705.809523809524,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3750.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3734.9,3263.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.89,13.0,7718.26
2025-10-06,8.0,3955.809523809524,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2969.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.63,8.0,3693.31
2025-10-07,8.0,3955.809523809524,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3464.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.54,8.0,4192.68
2025-10-08,8.0,3955.809523809524,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3453.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.13,8.0,4139.41
2025-10-09,8.0,3955.809523809524,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3209.1428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3232.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.8,8.0,3929.18
2025-10-10,14.0,7162.209523809524,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6415.542857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6571.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.98,15.0,7351.8
2025-10-11,8.0,3953.0666666666666,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3206.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3060.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.11,8.0,3791.06
2025-10-12,8.0,3953.0666666666666,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3206.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.6666666666666,,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2918.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.04,8.0,3622.2
2025-10-13,24.0,9812.114285714286,0.0,0.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,6605.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3267.04,0.0,7063.46,0.0,0.0,0.0,0.0,0.0,0.0,23.0,10330.5
2025-10-14,16.0,7892.114285714286,0.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4685.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3074.78,0.0,4385.35,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7460.13
2025-10-15,12.0,7252.114285714286,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3311.33,0.0,3975.78,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7287.11
2025-10-16,12.0,7252.114285714286,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3422.03,0.0,4005.14,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7427.17
2025-10-17,12.0,7252.114285714286,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2897.41,0.0,3839.59,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6737.0
2025-10-18,12.0,7252.114285714286,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3267.78,0.0,4215.83,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7483.61
2025-10-19,15.0,7732.114285714286,3.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,3206.4,0.0,4045.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,507.25,0.0,3034.08,0.0,4329.99,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7871.32
2025-10-20,2.0,1024.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1100.57
2025-10-21,2.0,1024.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,973.55
2025-10-22,4.0,2258.285714285714,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.69,0.0,1241.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2288.59
2025-10-23,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.18,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1172.18
2025-10-24,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.29,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1171.29
2025-10-25,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.66,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1150.66
2025-10-26,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.91,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1342.91
2025-10-27,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1330.06
2025-10-28,4.0,2468.5714285714284,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2468.5714285714284,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2605.51,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2605.51
2025-10-29,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238.65,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1238.65
2025-10-30,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.97,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1231.97
2025-10-31,2.0,1234.2857142857142,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.63,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1241.63
