任务,工种,施工人数,劳动力成本,每日实际施工人数,每日实际劳动力成本
2层 - 柱模板拼装,木工,4.0,0,4.0,0.0
2层 - 剪力墙模板拼装,木工,4.0,3600,2.0,1800.0
2层 - 墙模板验收,,,0,,0.0
2层 - 柱模板验收,,,0,,0.0
2层 - 短肢剪力墙混凝土浇筑,混凝土工,8.0,1040,8.0,1040.0
2层 - 短肢剪力墙混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
2层 - 柱混凝土浇筑,混凝土工,4.0,0,4.0,0.0
2层 - 柱混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
2层 - 短肢剪力墙模板拆除,木工,4.0,1800,4.0,1800.0
2层 - 柱模板拆除,木工,4.0,0,4.0,0.0
2层 - 预制叠合板安装,不限,3.0,576,3.0,576.0
2层 - 钢筋桁架楼承板安装,木工,3.0,1620,3.0,1620.0
2层 - 梁板模板拼装,木工,4.0,2520,2.0,1260.0
2层 - 楼梯模板拼装,木工,4.0,1080,4.0,1080.0
2层 - 梁板模板验收,,,0,,0.0
2层 - 楼梯模板验收,,,0,,0.0
2层 - 梁板底排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
2层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
2层 - 楼板上排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
2层 - 梁板钢筋验收,,,0,,0.0
2层 - 水电验收,,,0,,0.0
2层 - 梁板混凝土浇筑,混凝土工,8.0,1456,8.0,1456.0
2层 - 梁板混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
2层 - 梁板混凝土拆模,木工,4.0,1800,4.0,1800.0
2层 - 隔墙测量放线,测量员,2.0,80,2.0,80.0
2层 - 隔墙墙体砌筑及墙板安装,砌筑工,2.0,4800,0.2857142857142857,685.7142857142857
2层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
2层 - 隔墙墙体砌筑验收,,,0,,0.0
2层 - 水电验收,,,0,,0.0
2层 - 窗框安装,不限,2.0,128,2.0,128.0
2层 - 窗框验收,,,0,,0.0
2层 - 外墙面保温施工,抹灰工,6.0,38016,0.35294117647058826,2236.235294117647
2层 - 外墙面腻子一道,抹灰工,6.0,24384,0.5454545454545454,2216.7272727272725
2层 - 外墙面腻子二道,抹灰工,6.0,22464,0.6,2246.4
2层 - 外墙涂料面层,抹灰工,6.0,32064,0.42857142857142855,2290.285714285714
2层 - 内墙面保温,抹灰工,6.0,5376,2.0,1792.0
2层 - 内墙面抹灰,抹灰工,6.0,5376,2.0,1792.0
2层 - 外墙面验收,,,0,,0.0
2层 - 内墙面验收,,,0,,0.0
2层 - 有水房间防水施工,防水工,2.0,4800,0.2,480.0
2层 - 防水保护层施工,防水工,2.0,5760,0.16666666666666666,480.0
2层 - 防水保护层养护,防水工,2.0,6720,0.14285714285714285,480.0
2层 - 水立管安装与调试,水电工,4.0,640,4.0,640.0
2层 - 水干管安装与调试,水电工,4.0,1280,4.0,1280.0
2层 - 水支管安装与调试,水电工,4.0,1280,4.0,1280.0
2层 - 地盘管安装与调试,水电工,6.0,28320,0.6,2832.0
2层 - 水管盘管验收,,,0,,0.0
2层 - 门框安装,不限,3.0,480,3.0,480.0
2层 - 门框验收,,,0,,0.0
2层 - 楼面基层施工,抹灰工,2.0,3072,0.5,768.0
2层 - 穿带线安装,水电工,2.0,8640,0.2222222222222222,960.0
2层 - 电箱安装,水电工,2.0,8640,0.2222222222222222,960.0
2层 - 电盒安装,水电工,2.0,8640,0.2222222222222222,960.0
2层 - 穿带线、电箱、电盒验收,,,0,,0.0
2层 - 门窗扇五金安装,不限,2.0,2240,0.3333333333333333,373.3333333333333
2层 - 顶棚腻子,抹灰工,3.0,3456,1.0,1152.0
2层 - 墙面石膏、腻子,抹灰工,5.0,11040,0.8333333333333334,1840.0
2层 - 电线、电缆安装,抹灰工,2.0,9216,0.16666666666666666,768.0
2层 - 楼面面层抹灰,水电工,3.0,2880,1.5,1440.0
2层 - 面砖铺贴,砌筑工,5.0,3840,2.5,1920.0
2层 - 开关面板安装,水电工,2.0,7680,0.25,960.0
2层 - 顶棚壁纸施工,抹灰工,2.0,1536,1.0,768.0
2层 - 内墙面涂料、壁纸施工,抹灰工,4.0,8832,0.6666666666666666,1472.0
2层 - 灯具安装,水电工,2.0,960,2.0,960.0
2层 - 洁具安装,水电工,2.0,960,2.0,960.0
2层 - 公共部位楼梯栏杆安装,不限,2.0,384,2.0,384.0
2层 - 消防系统安装,,,0,,0.0
2层 - 弱电及智能系统安装,,,0,,0.0
3层 - 柱、墙、梁、板钢筋制作,钢筋工,3.0,3465,1.0,1155.0
3层 - 柱测量放线,测量员,2.0,80,2.0,80.0
3层 - 剪力墙放线,测量员,2.0,80,2.0,80.0
3层 - 柱钢筋绑扎,钢筋工,8.0,0,8.0,0.0
3层 - 短肢剪力墙钢筋绑扎,钢筋工,8.0,3360,8.0,3360.0
3层 - 柱钢筋验收,,,0,,0.0
3层 - 剪力墙钢筋验收,,,0,,0.0
3层 - 柱模板拼装,木工,4.0,0,4.0,0.0
3层 - 剪力墙模板拼装,木工,4.0,3600,2.0,1800.0
3层 - 墙模板验收,,,0,,0.0
3层 - 柱模板验收,,,0,,0.0
3层 - 短肢剪力墙混凝土浇筑,混凝土工,8.0,1040,8.0,1040.0
3层 - 短肢剪力墙混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
3层 - 柱混凝土浇筑,混凝土工,4.0,0,4.0,0.0
3层 - 柱混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
3层 - 短肢剪力墙模板拆除,木工,4.0,1800,4.0,1800.0
3层 - 柱模板拆除,木工,4.0,0,4.0,0.0
3层 - 预制叠合板安装,不限,3.0,576,3.0,576.0
3层 - 钢筋桁架楼承板安装,木工,3.0,1620,3.0,1620.0
3层 - 梁板模板拼装,木工,4.0,2520,2.0,1260.0
3层 - 楼梯模板拼装,木工,4.0,1080,4.0,1080.0
3层 - 梁板模板验收,,,0,,0.0
3层 - 楼梯模板验收,,,0,,0.0
3层 - 梁板底排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
3层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
3层 - 楼板上排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
3层 - 梁板钢筋验收,,,0,,0.0
3层 - 水电验收,,,0,,0.0
3层 - 梁板混凝土浇筑,混凝土工,8.0,1456,8.0,1456.0
3层 - 梁板混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
3层 - 梁板混凝土拆模,木工,4.0,1800,4.0,1800.0
3层 - 隔墙测量放线,测量员,2.0,80,2.0,80.0
3层 - 隔墙墙体砌筑及墙板安装,砌筑工,2.0,4800,0.2857142857142857,685.7142857142857
3层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
3层 - 隔墙墙体砌筑验收,,,0,,0.0
3层 - 水电验收,,,0,,0.0
3层 - 窗框安装,不限,2.0,128,2.0,128.0
3层 - 窗框验收,,,0,,0.0
3层 - 外墙面保温施工,抹灰工,6.0,38016,0.35294117647058826,2236.235294117647
3层 - 外墙面腻子一道,抹灰工,6.0,24384,0.5454545454545454,2216.7272727272725
3层 - 外墙面腻子二道,抹灰工,6.0,22464,0.6,2246.4
3层 - 外墙涂料面层,抹灰工,6.0,32064,0.42857142857142855,2290.285714285714
3层 - 内墙面保温,抹灰工,6.0,5376,2.0,1792.0
3层 - 内墙面抹灰,抹灰工,6.0,5376,2.0,1792.0
3层 - 外墙面验收,,,0,,0.0
3层 - 内墙面验收,,,0,,0.0
3层 - 有水房间防水施工,防水工,2.0,4800,0.2,480.0
3层 - 防水保护层施工,防水工,2.0,5760,0.16666666666666666,480.0
3层 - 防水保护层养护,防水工,2.0,6720,0.14285714285714285,480.0
3层 - 水立管安装与调试,水电工,4.0,640,4.0,640.0
3层 - 水干管安装与调试,水电工,4.0,1280,4.0,1280.0
3层 - 水支管安装与调试,水电工,4.0,1280,4.0,1280.0
3层 - 地盘管安装与调试,水电工,6.0,28320,0.6,2832.0
3层 - 水管盘管验收,,,0,,0.0
3层 - 门框安装,不限,3.0,480,3.0,480.0
3层 - 门框验收,,,0,,0.0
3层 - 楼面基层施工,抹灰工,2.0,3072,0.5,768.0
3层 - 穿带线安装,水电工,2.0,8640,0.2222222222222222,960.0
3层 - 电箱安装,水电工,2.0,8640,0.2222222222222222,960.0
3层 - 电盒安装,水电工,2.0,8640,0.2222222222222222,960.0
3层 - 穿带线、电箱、电盒验收,,,0,,0.0
3层 - 门窗扇五金安装,不限,2.0,2240,0.3333333333333333,373.3333333333333
3层 - 顶棚腻子,抹灰工,3.0,3456,1.0,1152.0
3层 - 墙面石膏、腻子,抹灰工,5.0,11040,0.8333333333333334,1840.0
3层 - 电线、电缆安装,抹灰工,2.0,9216,0.16666666666666666,768.0
3层 - 楼面面层抹灰,水电工,3.0,2880,1.5,1440.0
3层 - 面砖铺贴,砌筑工,5.0,3840,2.5,1920.0
3层 - 开关面板安装,水电工,2.0,7680,0.25,960.0
3层 - 顶棚壁纸施工,抹灰工,2.0,1536,1.0,768.0
3层 - 内墙面涂料、壁纸施工,抹灰工,4.0,8832,0.6666666666666666,1472.0
3层 - 灯具安装,水电工,2.0,960,2.0,960.0
3层 - 洁具安装,水电工,2.0,960,2.0,960.0
3层 - 公共部位楼梯栏杆安装,不限,2.0,384,2.0,384.0
3层 - 消防系统安装,,,0,,0.0
3层 - 弱电及智能系统安装,,,0,,0.0
4层 - 柱、墙、梁、板钢筋制作,钢筋工,3.0,3465,1.0,1155.0
4层 - 柱测量放线,测量员,2.0,80,2.0,80.0
4层 - 剪力墙放线,测量员,2.0,80,2.0,80.0
4层 - 柱钢筋绑扎,钢筋工,8.0,0,8.0,0.0
4层 - 短肢剪力墙钢筋绑扎,钢筋工,8.0,3360,8.0,3360.0
4层 - 柱钢筋验收,,,0,,0.0
4层 - 剪力墙钢筋验收,,,0,,0.0
4层 - 柱模板拼装,木工,4.0,0,4.0,0.0
4层 - 剪力墙模板拼装,木工,4.0,3600,2.0,1800.0
4层 - 墙模板验收,,,0,,0.0
4层 - 柱模板验收,,,0,,0.0
4层 - 短肢剪力墙混凝土浇筑,混凝土工,8.0,1040,8.0,1040.0
4层 - 短肢剪力墙混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
4层 - 柱混凝土浇筑,混凝土工,4.0,0,4.0,0.0
4层 - 柱混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
4层 - 短肢剪力墙模板拆除,木工,4.0,1800,4.0,1800.0
4层 - 柱模板拆除,木工,4.0,0,4.0,0.0
4层 - 预制叠合板安装,不限,3.0,576,3.0,576.0
4层 - 钢筋桁架楼承板安装,木工,3.0,1620,3.0,1620.0
4层 - 梁板模板拼装,木工,4.0,2520,2.0,1260.0
4层 - 楼梯模板拼装,木工,4.0,1080,4.0,1080.0
4层 - 梁板模板验收,,,0,,0.0
4层 - 楼梯模板验收,,,0,,0.0
4层 - 梁板底排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
4层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
4层 - 楼板上排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
4层 - 梁板钢筋验收,,,0,,0.0
4层 - 水电验收,,,0,,0.0
4层 - 梁板混凝土浇筑,混凝土工,8.0,1456,8.0,1456.0
4层 - 梁板混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
4层 - 梁板混凝土拆模,木工,4.0,1800,4.0,1800.0
4层 - 隔墙测量放线,测量员,2.0,80,2.0,80.0
4层 - 隔墙墙体砌筑及墙板安装,砌筑工,2.0,4800,0.2857142857142857,685.7142857142857
4层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
4层 - 隔墙墙体砌筑验收,,,0,,0.0
4层 - 水电验收,,,0,,0.0
4层 - 窗框安装,不限,2.0,128,2.0,128.0
4层 - 窗框验收,,,0,,0.0
4层 - 外墙面保温施工,抹灰工,6.0,38016,0.35294117647058826,2236.235294117647
4层 - 外墙面腻子一道,抹灰工,6.0,24384,0.5454545454545454,2216.7272727272725
4层 - 外墙面腻子二道,抹灰工,6.0,22464,0.6,2246.4
4层 - 外墙涂料面层,抹灰工,6.0,32064,0.42857142857142855,2290.285714285714
4层 - 内墙面保温,抹灰工,6.0,5376,2.0,1792.0
4层 - 内墙面抹灰,抹灰工,6.0,5376,2.0,1792.0
4层 - 外墙面验收,,,0,,0.0
4层 - 内墙面验收,,,0,,0.0
4层 - 有水房间防水施工,防水工,2.0,4800,0.2,480.0
4层 - 防水保护层施工,防水工,2.0,5760,0.16666666666666666,480.0
4层 - 防水保护层养护,防水工,2.0,6720,0.14285714285714285,480.0
4层 - 水立管安装与调试,水电工,4.0,640,4.0,640.0
4层 - 水干管安装与调试,水电工,4.0,1280,4.0,1280.0
4层 - 水支管安装与调试,水电工,4.0,1280,4.0,1280.0
4层 - 地盘管安装与调试,水电工,6.0,28320,0.6,2832.0
4层 - 水管盘管验收,,,0,,0.0
4层 - 门框安装,不限,3.0,480,3.0,480.0
4层 - 门框验收,,,0,,0.0
4层 - 楼面基层施工,抹灰工,2.0,3072,0.5,768.0
4层 - 穿带线安装,水电工,2.0,8640,0.2222222222222222,960.0
4层 - 电箱安装,水电工,2.0,8640,0.2222222222222222,960.0
4层 - 电盒安装,水电工,2.0,8640,0.2222222222222222,960.0
4层 - 穿带线、电箱、电盒验收,,,0,,0.0
4层 - 门窗扇五金安装,不限,2.0,2240,0.3333333333333333,373.3333333333333
4层 - 顶棚腻子,抹灰工,3.0,3456,1.0,1152.0
4层 - 墙面石膏、腻子,抹灰工,5.0,11040,0.8333333333333334,1840.0
4层 - 电线、电缆安装,抹灰工,2.0,9216,0.16666666666666666,768.0
4层 - 楼面面层抹灰,水电工,3.0,2880,1.5,1440.0
4层 - 面砖铺贴,砌筑工,5.0,3840,2.5,1920.0
4层 - 开关面板安装,水电工,2.0,7680,0.25,960.0
4层 - 顶棚壁纸施工,抹灰工,2.0,1536,1.0,768.0
4层 - 内墙面涂料、壁纸施工,抹灰工,4.0,8832,0.6666666666666666,1472.0
4层 - 灯具安装,水电工,2.0,960,2.0,960.0
4层 - 洁具安装,水电工,2.0,960,2.0,960.0
4层 - 公共部位楼梯栏杆安装,不限,2.0,384,2.0,384.0
4层 - 消防系统安装,,,0,,0.0
4层 - 弱电及智能系统安装,,,0,,0.0
5层 - 柱、墙、梁、板钢筋制作,钢筋工,3.0,3465,1.0,1155.0
5层 - 柱测量放线,测量员,2.0,80,2.0,80.0
5层 - 剪力墙放线,测量员,2.0,80,2.0,80.0
5层 - 柱钢筋绑扎,钢筋工,8.0,0,8.0,0.0
5层 - 短肢剪力墙钢筋绑扎,钢筋工,8.0,3360,8.0,3360.0
5层 - 柱钢筋验收,,,0,,0.0
5层 - 剪力墙钢筋验收,,,0,,0.0
5层 - 柱模板拼装,木工,4.0,0,4.0,0.0
5层 - 剪力墙模板拼装,木工,4.0,3600,2.0,1800.0
5层 - 墙模板验收,,,0,,0.0
5层 - 柱模板验收,,,0,,0.0
5层 - 短肢剪力墙混凝土浇筑,混凝土工,8.0,1040,8.0,1040.0
5层 - 短肢剪力墙混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
5层 - 柱混凝土浇筑,混凝土工,4.0,0,4.0,0.0
5层 - 柱混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
5层 - 短肢剪力墙模板拆除,木工,4.0,1800,4.0,1800.0
5层 - 柱模板拆除,木工,4.0,0,4.0,0.0
5层 - 预制叠合板安装,不限,3.0,576,3.0,576.0
5层 - 钢筋桁架楼承板安装,木工,3.0,1620,3.0,1620.0
5层 - 梁板模板拼装,木工,4.0,2520,2.0,1260.0
5层 - 楼梯模板拼装,木工,4.0,1080,4.0,1080.0
5层 - 梁板模板验收,,,0,,0.0
5层 - 楼梯模板验收,,,0,,0.0
5层 - 梁板底排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
5层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
5层 - 楼板上排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
5层 - 梁板钢筋验收,,,0,,0.0
5层 - 水电验收,,,0,,0.0
5层 - 梁板混凝土浇筑,混凝土工,8.0,1456,8.0,1456.0
5层 - 梁板混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
5层 - 梁板混凝土拆模,木工,4.0,1800,4.0,1800.0
5层 - 隔墙测量放线,测量员,2.0,80,2.0,80.0
5层 - 隔墙墙体砌筑及墙板安装,砌筑工,2.0,4800,0.2857142857142857,685.7142857142857
5层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
5层 - 隔墙墙体砌筑验收,,,0,,0.0
5层 - 水电验收,,,0,,0.0
5层 - 窗框安装,不限,2.0,128,2.0,128.0
5层 - 窗框验收,,,0,,0.0
5层 - 外墙面保温施工,抹灰工,6.0,38016,0.35294117647058826,2236.235294117647
5层 - 外墙面腻子一道,抹灰工,6.0,24384,0.5454545454545454,2216.7272727272725
5层 - 外墙面腻子二道,抹灰工,6.0,22464,0.6,2246.4
5层 - 外墙涂料面层,抹灰工,6.0,32064,0.42857142857142855,2290.285714285714
5层 - 内墙面保温,抹灰工,6.0,5376,2.0,1792.0
5层 - 内墙面抹灰,抹灰工,6.0,5376,2.0,1792.0
5层 - 外墙面验收,,,0,,0.0
5层 - 内墙面验收,,,0,,0.0
5层 - 有水房间防水施工,防水工,2.0,4800,0.2,480.0
5层 - 防水保护层施工,防水工,2.0,5760,0.16666666666666666,480.0
5层 - 防水保护层养护,防水工,2.0,6720,0.14285714285714285,480.0
5层 - 水立管安装与调试,水电工,4.0,640,4.0,640.0
5层 - 水干管安装与调试,水电工,4.0,1280,4.0,1280.0
5层 - 水支管安装与调试,水电工,4.0,1280,4.0,1280.0
5层 - 地盘管安装与调试,水电工,6.0,28320,0.6,2832.0
5层 - 水管盘管验收,,,0,,0.0
5层 - 门框安装,不限,3.0,480,3.0,480.0
5层 - 门框验收,,,0,,0.0
5层 - 楼面基层施工,抹灰工,2.0,3072,0.5,768.0
5层 - 穿带线安装,水电工,2.0,8640,0.2222222222222222,960.0
5层 - 电箱安装,水电工,2.0,8640,0.2222222222222222,960.0
5层 - 电盒安装,水电工,2.0,8640,0.2222222222222222,960.0
5层 - 穿带线、电箱、电盒验收,,,0,,0.0
5层 - 门窗扇五金安装,不限,2.0,2240,0.3333333333333333,373.3333333333333
5层 - 顶棚腻子,抹灰工,3.0,3456,1.0,1152.0
5层 - 墙面石膏、腻子,抹灰工,5.0,11040,0.8333333333333334,1840.0
5层 - 电线、电缆安装,抹灰工,2.0,9216,0.16666666666666666,768.0
5层 - 楼面面层抹灰,水电工,3.0,2880,1.5,1440.0
5层 - 面砖铺贴,砌筑工,5.0,3840,2.5,1920.0
5层 - 开关面板安装,水电工,2.0,7680,0.25,960.0
5层 - 顶棚壁纸施工,抹灰工,2.0,1536,1.0,768.0
5层 - 内墙面涂料、壁纸施工,抹灰工,4.0,8832,0.6666666666666666,1472.0
5层 - 灯具安装,水电工,2.0,960,2.0,960.0
5层 - 洁具安装,水电工,2.0,960,2.0,960.0
5层 - 公共部位楼梯栏杆安装,不限,2.0,384,2.0,384.0
5层 - 消防系统安装,,,0,,0.0
5层 - 弱电及智能系统安装,,,0,,0.0
6层 - 柱、墙、梁、板钢筋制作,钢筋工,3.0,3465,1.0,1155.0
6层 - 柱测量放线,测量员,2.0,80,2.0,80.0
6层 - 剪力墙放线,测量员,2.0,80,2.0,80.0
6层 - 柱钢筋绑扎,钢筋工,8.0,0,8.0,0.0
6层 - 短肢剪力墙钢筋绑扎,钢筋工,8.0,3360,8.0,3360.0
6层 - 柱钢筋验收,,,0,,0.0
6层 - 剪力墙钢筋验收,,,0,,0.0
6层 - 柱模板拼装,木工,4.0,0,4.0,0.0
6层 - 剪力墙模板拼装,木工,4.0,3600,2.0,1800.0
6层 - 墙模板验收,,,0,,0.0
6层 - 柱模板验收,,,0,,0.0
6层 - 短肢剪力墙混凝土浇筑,混凝土工,8.0,1040,8.0,1040.0
6层 - 短肢剪力墙混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
6层 - 柱混凝土浇筑,混凝土工,4.0,0,4.0,0.0
6层 - 柱混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
6层 - 短肢剪力墙模板拆除,木工,4.0,1800,4.0,1800.0
6层 - 柱模板拆除,木工,4.0,0,4.0,0.0
6层 - 预制叠合板安装,不限,3.0,576,3.0,576.0
6层 - 钢筋桁架楼承板安装,木工,3.0,1620,3.0,1620.0
6层 - 梁板模板拼装,木工,4.0,2520,2.0,1260.0
6层 - 楼梯模板拼装,木工,4.0,1080,4.0,1080.0
6层 - 梁板模板验收,,,0,,0.0
6层 - 楼梯模板验收,,,0,,0.0
6层 - 梁板底排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
6层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
6层 - 楼板上排钢筋绑扎,钢筋工,6.0,1890,6.0,1890.0
6层 - 梁板钢筋验收,,,0,,0.0
6层 - 水电验收,,,0,,0.0
6层 - 梁板混凝土浇筑,混凝土工,8.0,1456,8.0,1456.0
6层 - 梁板混凝土养护,不限,2.0,2688,0.2857142857142857,384.0
6层 - 梁板混凝土拆模,木工,4.0,1800,4.0,1800.0
6层 - 隔墙测量放线,测量员,2.0,80,2.0,80.0
6层 - 隔墙墙体砌筑及墙板安装,砌筑工,2.0,4800,0.2857142857142857,685.7142857142857
6层 - 水电管线预留预埋,水电工,1.0,240,1.0,240.0
6层 - 隔墙墙体砌筑验收,,,0,,0.0
6层 - 水电验收,,,0,,0.0
6层 - 窗框安装,不限,2.0,128,2.0,128.0
6层 - 窗框验收,,,0,,0.0
6层 - 外墙面保温施工,抹灰工,6.0,38016,0.35294117647058826,2236.235294117647
6层 - 外墙面腻子一道,抹灰工,6.0,24384,0.5454545454545454,2216.7272727272725
6层 - 外墙面腻子二道,抹灰工,6.0,22464,0.6,2246.4
6层 - 外墙涂料面层,抹灰工,6.0,32064,0.42857142857142855,2290.285714285714
6层 - 内墙面保温,抹灰工,6.0,5376,2.0,1792.0
6层 - 内墙面抹灰,抹灰工,6.0,5376,2.0,1792.0
6层 - 外墙面验收,,,0,,0.0
6层 - 内墙面验收,,,0,,0.0
